"replicate","prior","correlation","mse","centers"
"3","equal",1,1.0173338924986,"1"
"3","equal",-1,0.369659606914246,"2"
"3","equal",-0.9,0.498761464223597,"2"
"3","equal",-0.8,0.629746507284031,"2"
"3","equal",-0.7,0.758723829301784,"2"
"3","equal",-0.6,0.882414319896166,"2"
"3","equal",-0.5,1.00781809718662,"2"
"3","equal",-0.4,1.14694623152365,"2"
"3","equal",-0.3,1.28289156626619,"2"
"3","equal",-0.2,1.40907671300321,"2"
"3","equal",-0.1,1.52636078770215,"2"
"3","equal",0,1.66518877475137,"2"
"3","equal",0.1,1.52135289032354,"2"
"3","equal",0.2,1.39202864665881,"2"
"3","equal",0.3,1.26143065898924,"2"
"3","equal",0.4,1.13544233094247,"2"
"3","equal",0.5,1.0021702646281,"2"
"3","equal",0.6,0.872447976669431,"2"
"3","equal",0.7,0.749742112311516,"2"
"3","equal",0.8,0.626505185569976,"2"
"3","equal",0.9,0.50184559612033,"2"
"3","equal",1,0.371394539729905,"2"
"3","equal",-1,0.193129246858319,"3"
"3","equal",-0.9,0.369810227285189,"3"
"3","equal",-0.8,0.562679209406958,"3"
"3","equal",-0.7,0.76147996386531,"3"
"3","equal",-0.6,0.986825067165775,"3"
"3","equal",-0.5,1.22199243649071,"3"
"3","equal",-0.4,1.45841689415216,"3"
"3","equal",-0.3,1.71059068356932,"3"
"3","equal",-0.2,1.98055246401089,"3"
"3","equal",-0.1,2.27123891092496,"3"
"3","equal",0,2.54162242487059,"3"
"3","equal",0.1,2.26345051363539,"3"
"3","equal",0.2,1.98478747460682,"3"
"3","equal",0.3,1.7170652518001,"3"
"3","equal",0.4,1.45471087229742,"3"
"3","equal",0.5,1.21183120057704,"3"
"3","equal",0.6,0.986317871483948,"3"
"3","equal",0.7,0.762534375839321,"3"
"3","equal",0.8,0.554288050122379,"3"
"3","equal",0.9,0.364803038303747,"3"
"3","equal",1,0.195262683708998,"3"
"3","equal",-1,0.119517581077753,"4"
"3","equal",-0.9,0.308645060850505,"4"
"3","equal",-0.8,0.536368923293515,"4"
"3","equal",-0.7,0.798236581446933,"4"
"3","equal",-0.6,1.08177276303998,"4"
"3","equal",-0.5,1.37913146178585,"4"
"3","equal",-0.4,1.71043564515183,"4"
"3","equal",-0.3,2.09109664214708,"4"
"3","equal",-0.2,2.48086106352443,"4"
"3","equal",-0.1,2.87521203865166,"4"
"3","equal",0,2.2071992757568,"4"
"3","equal",0.1,2.89937818417232,"4"
"3","equal",0.2,2.50076628993346,"4"
"3","equal",0.3,2.11752676114583,"4"
"3","equal",0.4,1.74321935186813,"4"
"3","equal",0.5,1.41229021446494,"4"
"3","equal",0.6,1.07751953922573,"4"
"3","equal",0.7,0.787412577287998,"4"
"3","equal",0.8,0.535454753533436,"4"
"3","equal",0.9,0.317636425772038,"4"
"3","equal",1,0.120795492540697,"4"
